"1","2","3","4","5","6","7","8","9","10","11"
"11,9","Stand","Stand","Stand","Stand","Stand","Stand","Stand","Stand","Stand","Stand"
"11,8","Stand","Stand","Stand","Stand","Double","Stand","Stand","Stand","Stand","Stand"
"11,7","Double","Double","Double","Double","Double","Stand","Stand","Hit","Hit","Hit"
"11,6","Hit","Double","Double","Double","Double","Hit","Hit","Hit","Hit","Hit"
"11,5","Hit","Hit","Double","Double","Double","Hit","Hit","Hit","Hit","Hit"
"11,4","Hit","Hit","Double","Double","Double","Hit","Hit","Hit","Hit","Hit"
"11,3","Hit","Hit","Hit","Double","Double","Hit","Hit","Hit","Hit","Hit"
"11,2","Hit","Hit","Hit","Double","Double","Hit","Hit","Hit","Hit","Hit"
